Lap,Average_Speed,Maximum_Speed,Minimum_Speed,Average_RPM,Maximum_RPM,Average_Throttle,Brake_Events,DRS_Activations,Lap_Distance,Telemetry_Points
27,192.48,334.0,76.0,10615.01,12546.0,56.95,163,0,1617464.4773478613,645
26,200.4,332.0,91.0,10572.29,12709.0,58.55,119,0,1453253.8819293866,605
