Lap,Average_Speed,Maximum_Speed,Minimum_Speed,Average_RPM,Maximum_RPM,Average_Throttle,Brake_Events,DRS_Activations,Lap_Distance,Telemetry_Points
6,202.9,329.0,91.0,10427.48,12188.0,60.1,127,0,1517545.4366505537,633
16,205.38,331.0,94.0,10605.61,12202.0,62.33,112,0,1453079.9028177147,613
