Lap,Sector,Sector_Average_Speed,Sector_Average_RPM,Telemetry_Points
15,Sector_2,179.24,10416.81,312
15,Sector_1,228.0,10434.54,247
15,Sector_3,252.71,11393.53,65
43,Sector_2,182.68,10587.41,302
43,Sector_3,249.46,11115.37,70
43,Sector_1,227.68,10631.22,245
