Lap,Sector,Sector_Average_Speed,Sector_Average_RPM,Telemetry_Points
9,Sector_2,171.68,10274.92,310
9,Sector_1,221.34,10494.97,241
9,Sector_3,242.84,11115.46,79
17,Sector_1,226.0,10721.52,238
17,Sector_2,177.38,10311.05,310
17,Sector_3,246.31,10914.37,69
