Lap,Sector,Sector_Average_Speed,Sector_Average_RPM,Telemetry_Points
6,Sector_1,224.09,10569.74,245
6,Sector_2,177.86,10233.25,318
6,Sector_3,242.46,10811.89,70
16,Sector_1,225.99,10693.36,252
16,Sector_2,178.72,10495.72,295
16,Sector_3,245.89,10761.78,66
