Lap,Sector,Sector_Average_Speed,Sector_Average_RPM,Telemetry_Points
23,Sector_1,222.34,10476.94,233
23,Sector_2,173.95,10096.88,305
23,Sector_3,241.12,10992.71,66
39,Sector_2,177.15,10617.56,308
39,Sector_3,242.61,11214.47,64
39,Sector_1,224.34,10789.24,245
