Lap,Average_Speed,Maximum_Speed,Minimum_Speed,Average_RPM,Maximum_RPM,Average_Throttle,Brake_Events,DRS_Activations,Lap_Distance,Telemetry_Points
11,190.08,330.0,71.0,10384.03,12746.0,57.99,155,0,1698449.4859970002,672
33,205.93,330.0,95.0,10703.78,12212.0,62.95,129,0,1488746.3736671703,623
