Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z,Lap,processed_time,Anomaly_Type
2026-06-14T13:45:54.552+05:30,0 days 01:36:07.787000,16,81.689166666667,0 days 00:00:24.032000,9959.0,194.0,7,0.0,true,0,car,1632.1141666666667,0.3491363650786802,OnTrack,-5174.432825155121,-3064.4336404993464,1818.8946475033456,31,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
2026-06-14T13:45:39.350+05:30,0 days 01:35:52.585000,16,104.46944273875012,0 days 00:00:08.830000,10412.669993305513,194.10477104622927,8,0.0,true,0,pos,760.0618889747118,0.16258987917091153,OnTrack,-2707.0,-6647.0,1631.0,31,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
2026-06-14T13:45:39.552+05:30,0 days 01:35:52.787000,16,102.28111111111127,0 days 00:00:09.032000,10784.0,178.0,7,0.0,true,0,car,769.6980555555555,0.1646512154683591,OnTrack,-2810.8850354033084,-6762.785791305305,1627.552236993193,31,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
2026-06-14T13:45:55.592+05:30,0 days 01:36:08.827000,16,71.85583333333352,0 days 00:00:25.072000,10603.0,150.0,3,0.0,true,0,car,1679.2697222222223,0.3592237226889367,OnTrack,-4774.92801876877,-2840.141609862759,1823.5286610211836,31,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
2026-06-14T13:46:02.632+05:30,0 days 01:36:15.867000,16,62.20527777777761,0 days 00:00:32.112000,9980.0,169.0,5,0.0,true,0,car,2026.0675000000006,0.43340953519124675,OnTrack,-5078.537726554096,-5493.110046874976,1802.1938896420502,31,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
2026-06-14T13:46:02.792+05:30,0 days 01:36:16.027000,16,59.716388888889014,0 days 00:00:32.272000,10964.0,155.0,5,0.0,true,0,car,2032.9563888888893,0.4348831830984944,OnTrack,-5106.038566189788,-5541.649007876672,1801.0459735743598,31,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
2026-06-14T13:46:28.993+05:30,0 days 01:36:42.228000,16,25.301388888890415,0 days 00:00:58.473000,9906.0,114.0,2,0.0,true,0,car,3477.523333333332,0.7439000781152229,OnTrack,1462.8822532768459,2154.748959590209,1816.9976641817516,31,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
2026-06-14T13:46:04.190+05:30,0 days 01:36:17.425000,16,46.813611008108374,0 days 00:00:33.670000,9633.189160434244,109.38161250021393,2,0.0,true,0,pos,2081.7575431588084,0.4453225616428529,OnTrack,-5226.0,-5951.0,1783.0,31,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
2026-06-14T13:46:45.830+05:30,0 days 01:36:59.065000,16,29.855276344943217,0 days 00:01:15.310000,10718.059315600976,244.05969769065,6,16.014924422662503,true,0,pos,4270.002871471038,0.9134246316026249,OnTrack,2634.0,3070.0,1764.0,31,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
2026-06-14T13:46:13.153+05:30,0 days 01:36:26.388000,16,53.05333333333465,0 days 00:00:42.633000,9913.0,139.0,3,0.0,true,0,car,2527.613055555555,0.5406984710784116,OnTrack,-2090.75363398805,-3856.671855225128,1670.2446604092218,31,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
2026-06-14T13:46:28.351+05:30,0 days 01:36:41.586000,16,29.137221191112374,0 days 00:00:57.831000,9614.121539657142,129.35713828571429,3,0.0,true,0,pos,3456.5309354614533,0.7394094550712222,OnTrack,1415.0,1952.0,1819.0,31,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
2026-06-14T13:45:55.072+05:30,0 days 01:36:08.307000,16,75.0780555555557,0 days 00:00:24.552000,10033.0,168.0,4,0.0,true,0,car,1657.1586111111112,0.3544937882769644,OnTrack,-5023.62572721075,-2936.0337951233764,1820.999519777751,31,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
2026-06-14T13:45:54.570+05:30,0 days 01:36:07.805000,16,81.41416862222255,0 days 00:00:24.050000,10020.82956032,192.92000768,7,0.0,true,0,pos,1633.039292968586,0.3493342649810812,OnTrack,-5164.0,-3053.0,1819.0,31,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
2026-06-14T13:46:04.153+05:30,0 days 01:36:17.388000,16,46.83416666666608,0 days 00:00:33.633000,9684.0,110.0,2,0.0,true,0,car,2080.6536111111122,0.44508641221758705,OnTrack,-5227.286549764085,-5942.280165593221,1783.519087702076,31,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
2026-06-14T13:46:04.512+05:30,0 days 01:36:17.747000,16,46.634722222221626,0 days 00:00:33.992000,9191.0,104.0,2,0.0,true,0,car,2091.0247222222233,0.4473049653734337,OnTrack,-5205.555815612636,-6041.308611409049,1778.3345032641028,31,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
2026-06-14T13:46:04.530+05:30,0 days 01:36:17.765000,16,46.70972168888828,0 days 00:00:34.010000,9169.7683328,103.7136384,2,0.0,true,0,pos,2091.526481964306,0.4474123001273814,OnTrack,-5203.0,-6047.0,1778.0,31,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
2026-06-14T13:46:12.750+05:30,0 days 01:36:25.985000,16,53.911110328890494,0 days 00:00:42.230000,11047.9244288,176.5999616,6,0.0,true,0,pos,2512.1372413438057,0.5373879370294621,OnTrack,-2082.0,-4022.0,1664.0,31,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
2026-06-14T13:46:34.433+05:30,0 days 01:36:47.668000,16,30.256944444447072,0 days 00:01:03.913000,10352.0,175.0,4,0.0,true,0,car,3689.2549999999983,0.7891930030721988,OnTrack,-222.9051353735139,2194.0511474247287,1876.68414564362,31,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
