Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z,Lap,processed_time,Anomaly_Type
2026-06-14T14:21:32.160+05:30,0 days 02:11:45.395000,"",NaN,0 days 00:00:09.081000,10467.0,171.0,6,0.0,true,0,car,771.8986111111109,0.16527688644821528,OnTrack,-2791.6102006532096,-6742.78776810107,1628.3425126497987,57,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
2026-06-14T14:22:27.691+05:30,0 days 02:12:40.926000,"",NaN,0 days 00:01:04.612000,10955.50016,157.18181236363637,4,0.0,true,0,pos,3687.5564809386397,0.7895698282112159,OnTrack,-259.0,2181.0,1877.0,57,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
2026-06-14T14:22:28.721+05:30,0 days 02:12:41.956000,"",NaN,0 days 00:01:05.642000,9253.0,129.0,3,0.0,false,0,car,3726.87166666667,0.7979878916637576,OnTrack,-656.0663937447821,2128.371479668913,1894.672957099156,57,2026-07-14T15:14:26.335+05:30,THROTTLE_DROP
2026-06-14T14:21:57.291+05:30,0 days 02:12:10.526000,"",NaN,0 days 00:00:34.212000,8923.437384,100.593748,2,0.0,true,0,pos,2093.2960204116953,0.44821100036709827,OnTrack,-5188.0,-6078.0,1775.0,57,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
2026-06-14T14:21:47.032+05:30,0 days 02:12:00.267000,"",NaN,0 days 00:00:23.953000,8939.92269564851,208.6508695702136,7,0.0,true,0,pos,1622.4497112287395,0.34739463555284567,OnTrack,-5254.0,-3154.0,1818.0,57,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
2026-06-14T14:21:55.191+05:30,0 days 02:12:08.426000,"",NaN,0 days 00:00:32.112000,10648.142968685714,175.4999936,5,0.0,true,0,pos,2020.1812201877476,0.432555852967749,OnTrack,-5063.0,-5466.0,1804.0,57,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
2026-06-14T14:21:30.601+05:30,0 days 02:11:43.836000,"",NaN,0 days 00:00:07.522000,10639.0,302.0,8,0.0,true,0,car,679.0613888888888,0.14539882628004994,OnTrack,-2244.0695812475174,-5913.661503053735,1640.3753192090921,57,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
2026-06-14T14:21:55.001+05:30,0 days 02:12:08.236000,"",NaN,0 days 00:00:31.922000,9797.0,194.0,6,0.0,true,0,car,2010.8936111111113,0.4305672147079586,OnTrack,-5016.2247054129975,-5392.173335769481,1805.8587308634967,57,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
2026-06-14T14:22:04.671+05:30,0 days 02:12:17.906000,"",NaN,0 days 00:00:41.592000,10305.0,237.0,6,0.0,true,0,pos,2466.15040087085,0.5280455929079013,OnTrack,-2204.0,-4403.0,1656.0,57,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
2026-06-14T14:22:04.760+05:30,0 days 02:12:17.995000,"",NaN,0 days 00:00:41.681000,10305.0,237.0,6,0.0,true,0,car,2472.0944444444453,0.5293183157767017,OnTrack,-2171.9521739883203,-4342.523487189956,1657.6341634188152,57,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
2026-06-14T14:22:28.931+05:30,0 days 02:12:42.166000,"",NaN,0 days 00:01:05.852000,9129.6249248,126.3749984,3,0.0,false,0,pos,3734.200738736157,0.7995571731662282,OnTrack,-726.0,2141.0,1899.0,57,2026-07-14T15:14:26.335+05:30,THROTTLE_DROP
2026-06-14T14:21:32.191+05:30,0 days 02:11:45.426000,"",NaN,0 days 00:00:09.112000,10445.531807828354,169.8836540070744,6,0.0,true,0,pos,773.3252509484166,0.1655823547921128,OnTrack,-2802.0,-6754.0,1628.0,57,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
2026-06-14T14:21:55.801+05:30,0 days 02:12:09.036000,"",NaN,0 days 00:00:32.722000,10121.0,142.0,3,0.0,true,0,car,2045.6380555555559,0.43800660314122036,OnTrack,-5146.628537361044,-5620.045815243887,1798.0350492615482,57,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
2026-06-14T14:22:22.031+05:30,0 days 02:12:35.266000,"",NaN,0 days 00:00:58.952000,7913.666491733334,112.19444195555556,3,0.0,true,0,pos,3470.85518662897,0.7431703209478907,OnTrack,1456.0,2208.0,1817.0,57,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
2026-06-14T14:21:54.641+05:30,0 days 02:12:07.876000,"",NaN,0 days 00:00:31.562000,9997.0,226.0,6,0.0,true,0,car,1990.6047222222226,0.4262230115486571,OnTrack,-4918.642572469129,-5252.816171729105,1810.977369661952,57,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
