Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z,Lap,processed_time,Anomaly_Type
2026-06-14T14:05:46.477+05:30,0 days 01:55:59.712000,"",NaN,0 days 00:00:31.715000,10420.0,201.0,5,0.0,true,0,car,2005.3369444444445,0.4296444239345888,OnTrack,-5021.0550480453985,-5402.14203789782,1805.6490297418138,45,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
2026-06-14T14:05:47.411+05:30,0 days 01:56:00.646000,"",NaN,0 days 00:00:32.649000,9988.3370048,140.7124928,3,0.0,true,0,pos,2047.120725320008,0.43859661948148926,OnTrack,-5167.0,-5664.0,1796.0,45,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
2026-06-14T14:06:18.110+05:30,0 days 01:56:31.345000,"",NaN,0 days 00:01:03.348000,10639.601303482497,175.00751318175227,4,0.0,true,0,pos,3682.0854887373603,0.7888886219690843,OnTrack,-133.0,2237.0,1873.0,45,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
2026-06-14T14:05:39.516+05:30,0 days 01:55:52.751000,"",NaN,0 days 00:00:24.754000,10110.0,168.0,4,0.0,true,0,car,1657.806666666667,0.35518589146236795,OnTrack,-4951.267613749488,-2888.947263915958,1821.8911087484753,45,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
2026-06-14T14:05:24.477+05:30,0 days 01:55:37.712000,"",NaN,0 days 00:00:09.715000,10986.0,154.0,3,0.0,true,0,car,786.8752777777777,0.1685884142142821,OnTrack,-2952.120670445918,-6885.977002194901,1624.5687544826185,45,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
2026-06-14T14:05:38.196+05:30,0 days 01:55:51.431000,"",NaN,0 days 00:00:23.434000,9752.0,253.0,7,0.0,true,0,car,1585.2700000000004,0.3396448750508994,OnTrack,-5441.240244438407,-3411.1465298229045,1814.65879147512,45,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
2026-06-14T14:06:19.316+05:30,0 days 01:56:32.551000,"",NaN,0 days 00:01:04.554000,9631.0,136.0,3,0.0,true,0,car,3732.3450000000007,0.7996567469086333,OnTrack,-624.1590965221914,2119.2652500027953,1894.1722159327487,45,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
2026-06-14T14:06:09.751+05:30,0 days 01:56:22.986000,"",NaN,0 days 00:00:54.989000,11296.900130133334,293.81250133333333,7,0.0,false,0,pos,3319.3067119421285,0.7111630911032163,OnTrack,214.0,1327.0,1834.0,45,2026-07-14T15:14:26.335+05:30,THROTTLE_DROP
2026-06-14T14:06:18.756+05:30,0 days 01:56:31.991000,"",NaN,0 days 00:01:03.994000,10855.0,151.0,3,0.0,true,0,car,3710.430555555556,0.7949615664377082,OnTrack,-417.5291539626749,2140.405358919851,1883.3259420140007,45,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
2026-06-14T14:05:48.331+05:30,0 days 01:56:01.566000,"",NaN,0 days 00:00:33.569000,9904.766501821905,111.75701068739548,2,0.0,true,0,pos,2077.7967449462217,0.44516897173252806,OnTrack,-5224.0,-5966.0,1782.0,45,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
2026-06-14T14:05:48.957+05:30,0 days 01:56:02.192000,"",NaN,0 days 00:00:34.195000,8940.0,101.0,2,0.0,false,0,car,2095.8841666666667,0.44904421070773953,OnTrack,-5153.844842721094,-6131.709303580641,1771.2354770625745,45,2026-07-14T15:14:26.335+05:30,THROTTLE_DROP
