Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z,Lap,processed_time,Anomaly_Type
2026-06-14T14:29:08.883+05:30,0 days 02:19:22.118000,"",NaN,0 days 00:00:59.202000,9223.0,104.0,2,0.0,true,0,car,3489.823333333334,0.7476581386833232,OnTrack,1424.961068893382,2305.4127581190032,1817.9502212485927,62,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
2026-06-14T14:28:41.932+05:30,0 days 02:18:55.167000,"",NaN,0 days 00:00:32.251000,10331.47708509091,174.01364014545456,5,0.0,true,0,pos,2026.2022183567,0.43409262718339814,OnTrack,-5058.0,-5459.0,1804.0,62,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
2026-06-14T14:28:41.612+05:30,0 days 02:18:54.847000,"",NaN,0 days 00:00:31.931000,9915.2750336,197.21250560000001,6,0.37750016,true,0,pos,2011.2313371190396,0.4308852725033814,OnTrack,-5004.0,-5375.0,1807.0,62,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
2026-06-14T14:29:06.892+05:30,0 days 02:19:20.127000,"",NaN,0 days 00:00:57.211000,9657.011371303379,179.12300717908286,8,0.0,true,0,pos,3417.77680747951,0.7322229242688962,OnTrack,1108.0,1724.0,1823.0,62,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
2026-06-14T14:29:05.482+05:30,0 days 02:19:18.717000,"",NaN,0 days 00:00:55.801000,10045.0,291.0,8,0.0,false,0,car,3328.096111111112,0.7130097733101693,OnTrack,266.00861400885634,1353.4691558113614,1833.2779663332242,62,2026-07-14T15:14:26.335+05:30,THROTTLE_DROP
2026-06-14T14:29:14.692+05:30,0 days 02:19:27.927000,"",NaN,0 days 00:01:05.011000,10154.8001152,142.7750016,3,0.0,true,0,pos,3714.827421019371,0.7958629104804098,OnTrack,-451.0,2131.0,1885.0,62,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
2026-06-14T14:29:14.072+05:30,0 days 02:19:27.307000,"",NaN,0 days 00:01:04.391000,10090.989506742857,168.51071725714286,4,0.11785782857142851,true,0,pos,3689.298408728601,0.7903935866812851,OnTrack,-198.0,2206.0,1875.0,62,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
2026-06-14T14:28:35.523+05:30,0 days 02:18:48.758000,"",NaN,0 days 00:00:25.842000,9975.0,139.0,3,0.0,false,0,car,1705.8438888888888,0.3654592066793222,OnTrack,-4594.490421299768,-2851.5757422834185,1827.2038791831183,62,2026-07-14T15:14:26.335+05:30,THROTTLE_DROP
2026-06-14T14:28:41.163+05:30,0 days 02:18:54.398000,"",NaN,0 days 00:00:31.482000,10396.0,236.0,6,8.0,true,0,car,1985.8836111111111,0.4254547873937409,OnTrack,-4812.872324614801,-5104.382064255991,1814.456262809464,62,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
2026-06-14T14:29:13.803+05:30,0 days 02:19:27.038000,"",NaN,0 days 00:01:04.122000,11020.0,181.0,4,3.0,true,0,car,3676.7213888888905,0.7876990917612343,OnTrack,-93.13694604420519,2258.6559409362258,1871.0540587249698,62,2026-07-14T15:14:26.335+05:30,BRAKING_EVENT
